level,notation,prefLabel
0,0,"Computer science, information & general works"
1,00,"Computer science, information & general works"
1,00,"Computer science, knowledge & systems"
2,001,"Knowledge"
2,002,"The book"
2,003,"Systems"
2,004,"Data processing & computer science"
2,005,"Computer programming, programs & data"
2,006,"Special computer methods"
1,01,"Bibliographies"
2,010,"Bibliography"
2,011,"Bibliographies"
2,012,"Bibliographies of individuals"
2,014,"Bibliographies of anonymous & pseudonymous works"
2,015,"Bibliographies of works from specific places"
2,016,"Bibliographies of works on specific subjects"
2,017,"General subject catalogs"
2,018,"Catalogs arranged by author, date, etc."
2,019,"Dictionary catalogs"
1,02,"Library & information sciences"
2,020,"Library & information sciences"
2,021,"Library relationships"
2,022,"Administration of physical plant"
2,023,"Personnel management"
2,025,"Library operations"
2,026,"Libraries for specific subjects"
2,027,"General libraries"
2,028,"Reading & use of other information media"
1,03,"Encyclopedias & books of facts"
2,030,"General encyclopedic works"
2,031,"Encyclopedias in American English"
2,032,"Encyclopedias in English"
2,033,"Encyclopedias in other Germanic languages"
2,034,"Encyclopedias in French, Occitan & Catalan"
2,035,"Encyclopedias in Italian, Romanian & related languages"
2,036,"Encyclopedias in Spanish & Portuguese"
2,037,"Encyclopedias in Slavic languages"
2,038,"Encyclopedias in Scandinavian languages"
2,039,"Encyclopedias in other languages"
1,05,"Magazines, journals & serials"
2,050,"General serial publications"
2,051,"Serials in American English"
2,052,"Serials in English"
2,053,"Serials in other Germanic languages"
2,054,"Serials in French, Occitan & Catalan"
2,055,"Serials in Italian, Romanian & related languages"
2,056,"Serials in Spanish & Portuguese"
2,057,"Serials in Slavic languages"
2,058,"Serials in Scandinavian languages"
2,059,"Serials in other languages"
1,06,"Associations, organizations & museums"
2,060,"General organizations & museum science"
2,061,"Organizations in North America"
2,062,"Organizations in British Isles; in England"
2,063,"Organizations in central Europe; in Germany"
2,064,"Organizations in France & Monaco"
2,065,"Organizations in Italy & adjacent islands"
2,066,"Organizations in Iberian Peninsula & adjacent islands"
2,067,"Organizations in eastern Europe; in Russia"
2,068,"Organizations in other geographic areas"
2,069,"Museum science"
1,07,"News media, journalism & publishing"
2,070,"News media, journalism & publishing"
2,071,"Newspapers in North America"
2,072,"Newspapers in British Isles; in England"
2,073,"Newspapers in central Europe; in Germany"
2,074,"Newspapers in France & Monaco"
2,075,"Newspapers in Italy & adjacent islands"
2,076,"Newspapers in Iberian Peninsula & adjacent islands"
2,077,"Newspapers in eastern Europe; in Russia"
2,078,"Newspapers in Scandinavia"
2,079,"Newspapers in other geographic areas"
1,08,"Quotations"
2,080,"General collections"
2,081,"Collections in American English"
2,082,"Collections in English"
2,083,"Collections in other Germanic languages"
2,084,"Collections in French, Occitan & Catalan"
2,085,"Collections in Italian, Romanian & related languages"
2,086,"Collections in Spanish & Portuguese"
2,087,"Collections in Slavic languages"
2,088,"Collections in Scandinavian languages"
2,089,"Collections in other languages"
1,09,"Manuscripts & rare books"
2,090,"Manuscripts & rare books"
2,091,"Manuscripts"
2,092,"Block books"
2,093,"Incunabula"
2,094,"Printed books"
2,095,"Books notable for bindings"
2,096,"Books notable for illustrations"
2,097,"Books notable for ownership or origin"
2,098,"Prohibited works, forgeries & hoaxes"
2,099,"Books notable for format"
0,1,"Philosophy & psychology"
1,10,"Philosophy"
2,100,"Philosophy & psychology"
2,101,"Theory of philosophy"
2,102,"Miscellany"
2,103,"Dictionaries & encyclopedias"
2,105,"Serial publications"
2,106,"Organizations & management"
2,107,"Education, research & related topics"
2,108,"Kinds of persons treatment"
2,109,"Historical & collected persons treatment"
1,11,"Metaphysics"
2,110,"Metaphysics"
2,111,"Ontology"
2,113,"Cosmology"
2,114,"Space"
2,115,"Time"
2,116,"Change"
2,117,"Structure"
2,118,"Force & energy"
2,119,"Number & quantity"
1,12,"Epistemology"
2,120,"Epistemology, causation & humankind"
2,121,"Epistemology"
2,122,"Causation"
2,123,"Determinism & indeterminism"
2,124,"Teleology"
2,126,"The self"
2,127,"The unconscious & the subconscious"
2,128,"Humankind"
2,129,"Origin & destiny of individual souls"
1,13,"Parapsychology & occultism"
2,130,"Parapsychology & occultism"
2,131,"Parapsychological & occult methods"
2,133,"Specific topics in parapsychology & occultism"
2,135,"Dreams & mysteries"
2,137,"Divinatory graphology"
2,138,"Physiognomy"
2,139,"Phrenology"
1,14,"Philosophical schools of thought"
2,140,"Specific philosophical schools"
2,141,"Idealism & related systems"
2,142,"Critical philosophy"
2,143,"Bergsonism & intuitionism"
2,144,"Humanism & related systems"
2,145,"Sensationalism"
2,146,"Naturalism & related systems"
2,147,"Pantheism & related systems"
2,148,"Eclecticism, liberalism & traditionalism"
2,149,"Other philosophical systems"
1,15,"Psychology"
2,150,"Psychology"
2,152,"Perception, movement, emotions & drives"
2,153,"Mental processes & intelligence"
2,154,"Subconscious & altered states"
2,155,"Differential & developmental psychology"
2,156,"Comparative psychology"
2,158,"Applied psychology"
1,16,"Logic"
2,160,"Logic"
2,161,"Induction"
2,162,"Deduction"
2,165,"Fallacies & sources of error"
2,166,"Syllogisms"
2,167,"Hypotheses"
2,168,"Argument & persuasion"
2,169,"Analogy"
1,17,"Ethics"
2,170,"Ethics"
2,171,"Ethical systems"
2,172,"Political ethics"
2,173,"Ethics of family relationships"
2,174,"Occupational ethics"
2,175,"Ethics of recreation & leisure"
2,176,"Ethics of sex & reproduction"
2,177,"Ethics of social relations"
2,178,"Ethics of consumption"
2,179,"Other ethical norms"
1,18,"Ancient, medieval & eastern philosophy"
2,180,"Ancient, medieval & eastern philosophy"
2,181,"Eastern philosophy"
2,182,"Pre-Socratic Greek philosophies"
2,183,"Socratic & related philosophies"
2,184,"Platonic philosophy"
2,185,"Aristotelian philosophy"
2,186,"Skeptic & Neoplatonic philosophies"
2,187,"Epicurean philosophy"
2,188,"Stoic philosophy"
2,189,"Medieval western philosophy"
1,19,"Modern western philosophy"
2,190,"Modern western philosophy"
2,191,"Philosophy of United States & Canada"
2,192,"Philosophy of British Isles"
2,193,"Philosophy of Germany & Austria"
2,194,"Philosophy of France"
2,195,"Philosophy of Italy"
2,196,"Philosophy of Spain & Portugal"
2,197,"Philosophy of former Soviet Union"
2,198,"Philosophy of Scandinavia"
2,199,"Philosophy in other geographic areas"
0,2,"Religion"
1,20,"Religion"
2,200,"Religion"
2,201,"Religious mythology & social theology"
2,202,"Doctrines"
2,203,"Public worship & other practices"
2,204,"Religious experience, life & practice"
2,205,"Religious ethics"
2,206,"Leaders & organization"
2,207,"Missions & religious education"
2,208,"Sources"
2,209,"Sects & reform movements"
1,21,"Philosophy & theory of religion"
2,210,"Philosophy & theory of religion"
2,211,"Concepts of God"
2,212,"Existence, knowability & attributes of God"
2,213,"Creation"
2,214,"Theodicy"
2,215,"Science & religion"
2,218,"Humankind"
1,22,"The Bible"
2,220,"Bible"
2,221,"Old Testament (Tanakh)"
2,222,"Historical books of Old Testament"
2,223,"Poetic books of Old Testament"
2,224,"Prophetic books of Old Testament"
2,225,"New Testament"
2,226,"Gospels & Acts"
2,227,"Epistles"
2,228,"Revelation (Apocalypse)"
2,229,"Apocrypha & pseudepigrapha"
1,23,"Christianity & Christian theology"
2,230,"Christianity & Christian theology"
2,231,"God"
2,232,"Jesus Christ & his family"
2,233,"Humankind"
2,234,"Salvation & grace"
2,235,"Spiritual beings"
2,236,"Eschatology"
2,238,"Creeds & catechisms"
2,239,"Apologetics & polemics"
1,24,"Christian practice & observance"
2,240,"Christian moral & devotional theology"
2,241,"Christian ethics"
2,242,"Devotional literature"
2,243,"Evangelistic writings for individuals"
2,246,"Use of art in Christianity"
