notation,prefLabel
ASCII,ASCII
BS8723-5,BS8723-5
CD-ROM,CD-ROM
ClaML,ClaML
CLIPS,CLIPS
CSV,CSV
DC,DC
DjVu,DjVu
DOC,DOC
DOCX,DOCX
DTD,DTD
E-Book,E-Book
EPUB,EPUB
ESRI,ESRI
Floppy-Disc,Floppy Disc
G2KI,G2KI
GeoJSON,GeoJSON
HTML,HTML
Isabelle,Isabelle
JSON,JSON
JSON-LD,JSON-LD
KML,KML
LIST,LIST
MADS,MADS
MapInfo,MapInfo
MARC,MARC
MARC21,MARC21
MARCXML,MARCXML
MDB,MDB
Microform,Microform
MS-Access,MS Access
MySQL-Dump,MySQL Dump
N-Quads,N-Quads
N-Triples,N-Triples
N1TS,N1TS
N3,N3
OBO,OBO
ODS,ODS
ODT,ODT
Online,Online
OWL,OWL
PCC,PCC
PDF,PDF
Printed,Printed
RDF,RDF
RSS,RSS
RTF,RTF
SGML,SGML
SKOS,SKOS
SPS,SPS
TAB,TAB
TIFF,TIFF
TriG,TriG
TriX,TriX
TSV,TSV
Turtle,Turtle
TXT,TXT
UNIMARC,UNIMARC
USMARC,USMARC
VDEX,VDEX
XHTML,XHTML
XLS,XLS
XLSX,XLSX
XML,XML
XSD,XSD
XTM,XTM
YML,YML
Zthes,Zthes
