uri,points
http://bartoc.org/en/node/1936,10587
http://bartoc.org/en/node/1940,8926
http://bartoc.org/en/node/447,6808
http://bartoc.org/en/node/496,6765
http://bartoc.org/en/node/557,5030
http://bartoc.org/en/node/1409,5021
http://bartoc.org/en/node/15,4939
http://bartoc.org/en/node/16,4767
http://bartoc.org/en/node/305,4533
http://bartoc.org/en/node/1881,4216
http://bartoc.org/en/node/1514,4107
http://bartoc.org/en/node/725,4036
http://bartoc.org/en/node/2038,4001
http://bartoc.org/en/node/18526,3973
http://bartoc.org/en/node/20,3963
http://bartoc.org/en/node/18519,3852
http://bartoc.org/en/node/1754,3841
http://bartoc.org/en/node/1413,3828
http://bartoc.org/en/node/18457,3709
http://bartoc.org/en/node/254,3702
http://bartoc.org/en/node/1673,3633
http://bartoc.org/en/node/18085,3626
http://bartoc.org/en/node/954,3572
http://bartoc.org/en/node/1706,3562
http://bartoc.org/en/node/953,3549
http://bartoc.org/en/node/48,3435
http://bartoc.org/en/node/195,3433
http://bartoc.org/en/node/945,3422
http://bartoc.org/en/node/18623,3411
http://bartoc.org/en/node/18516,3381
http://bartoc.org/en/node/1954,3369
http://bartoc.org/en/node/192,3351
http://bartoc.org/en/node/1821,3346
http://bartoc.org/en/node/683,3323
http://bartoc.org/en/node/1637,3312
http://bartoc.org/en/node/940,3300
http://bartoc.org/en/node/234,3298
http://bartoc.org/en/node/934,3274
http://bartoc.org/en/node/703,3263
http://bartoc.org/en/node/17737,3224
http://bartoc.org/en/node/946,3223
http://bartoc.org/en/node/944,3216
http://bartoc.org/en/node/512,3215
http://bartoc.org/en/node/17790,3209
http://bartoc.org/en/node/952,3205
http://bartoc.org/en/node/18518,3200
http://bartoc.org/en/node/941,3198
http://bartoc.org/en/node/951,3180
http://bartoc.org/en/node/211,3177
http://bartoc.org/en/node/949,3168
http://bartoc.org/en/node/241,3156
http://bartoc.org/en/node/1953,3153
http://bartoc.org/en/node/1816,3150
http://bartoc.org/en/node/1545,3150
http://bartoc.org/en/node/660,3133
http://bartoc.org/en/node/1667,3132
http://bartoc.org/en/node/260,3130
http://bartoc.org/en/node/943,3122
http://bartoc.org/en/node/942,3103
http://bartoc.org/en/node/1886,3091
http://bartoc.org/en/node/332,3069
http://bartoc.org/en/node/59,3056
http://bartoc.org/en/node/428,3041
http://bartoc.org/en/node/445,3035
http://bartoc.org/en/node/1703,3016
http://bartoc.org/en/node/948,3010
http://bartoc.org/en/node/947,3003
http://bartoc.org/en/node/1624,2962
http://bartoc.org/en/node/231,2958
http://bartoc.org/en/node/661,2951
http://bartoc.org/en/node/1885,2939
http://bartoc.org/en/node/1625,2933
http://bartoc.org/en/node/1915,2932
http://bartoc.org/en/node/979,2927
http://bartoc.org/en/node/18517,2892
http://bartoc.org/en/node/259,2881
http://bartoc.org/en/node/14,2871
http://bartoc.org/en/node/1775,2864
http://bartoc.org/en/node/838,2862
http://bartoc.org/en/node/1402,2839
http://bartoc.org/en/node/18619,2836
http://bartoc.org/en/node/1743,2833
http://bartoc.org/en/node/659,2823
http://bartoc.org/en/node/1795,2819
http://bartoc.org/en/node/18522,2818
http://bartoc.org/en/node/461,2801
http://bartoc.org/en/node/18637,2764
http://bartoc.org/en/node/1806,2747
http://bartoc.org/en/node/1819,2746
http://bartoc.org/en/node/524,2742
http://bartoc.org/en/node/1043,2738
http://bartoc.org/en/node/1776,2734
http://bartoc.org/en/node/405,2729
http://bartoc.org/en/node/18521,2721
http://bartoc.org/en/node/1801,2712
http://bartoc.org/en/node/251,2706
http://bartoc.org/en/node/407,2704
http://bartoc.org/en/node/1262,2702
http://bartoc.org/en/node/1644,2688
http://bartoc.org/en/node/1810,2686
http://bartoc.org/en/node/18574,2684
http://bartoc.org/en/node/18635,2677
http://bartoc.org/en/node/1998,2653
http://bartoc.org/en/node/53,2652
http://bartoc.org/en/node/12,2651
http://bartoc.org/en/node/56,2646
http://bartoc.org/en/node/55,2645
http://bartoc.org/en/node/240,2638
http://bartoc.org/en/node/18630,2633
http://bartoc.org/en/node/1635,2621
http://bartoc.org/en/node/1805,2618
http://bartoc.org/en/node/17729,2617
http://bartoc.org/en/node/17777,2616
http://bartoc.org/en/node/1847,2601
http://bartoc.org/en/node/126,2597
http://bartoc.org/en/node/18638,2596
